id,slug,category,url,status
26324,preserving-indigenous-wisdom-requires-protecting-forests,Climate,https://olivenetwork.org/Issue/preserving-indigenous-wisdom-requires-protecting-forests/26324,done
26320,global-commons-alliance-systems-change-explained,Climate,https://olivenetwork.org/Issue/global-commons-alliance-systems-change-explained/26320,done
26319,the-promise-75-years-of-the-refugee-convention,Climate,https://olivenetwork.org/Issue/the-promise-75-years-of-the-refugee-convention/26319,done
26318,the-court-has-spoken-so-has-the-assembly-what-s-next,Climate,https://olivenetwork.org/Issue/the-court-has-spoken-so-has-the-assembly-what-s-next/26318,done
26313,none-of-17-un-sdgs-on-track-to-be-achieved-by-2030-report-finds,Climate,https://olivenetwork.org/Issue/none-of-17-un-sdgs-on-track-to-be-achieved-by-2030-report-finds/26313,done
26311,europe-s-sizzling-heat-is-a-brutal-reminder-of-global-warming-un-climate-chief-says,Climate,https://olivenetwork.org/Issue/europe-s-sizzling-heat-is-a-brutal-reminder-of-global-warming-un-climate-chief-says/26311,done
26308,we-economists-have-done-the-maths-growth-is-a-doomed-strategy-there-is-a-better-way,Climate,https://olivenetwork.org/Issue/we-economists-have-done-the-maths-growth-is-a-doomed-strategy-there-is-a-better-way/26308,done
26304,general-assembly-backs-historic-world-court-climate-crisis-ruling,Climate,https://olivenetwork.org/Issue/general-assembly-backs-historic-world-court-climate-crisis-ruling/26304,done
26302,renewables-hit-nearly-half-of-global-power-capacity-in-2025,Climate,https://olivenetwork.org/Issue/renewables-hit-nearly-half-of-global-power-capacity-in-2025/26302,done
26301,civil-society-demands-action-from-governments-at-first-fossil-fuel-free-conference-in-colombia,Climate,https://olivenetwork.org/Issue/civil-society-demands-action-from-governments-at-first-fossil-fuel-free-conference-in-colombia/26301,done
26299,cop-31-presidency-prioritizes-global-economy-as-climate-impacts-worsen,Climate,https://olivenetwork.org/Issue/cop-31-presidency-prioritizes-global-economy-as-climate-impacts-worsen/26299,done
26296,global-progressive-mobilisation-brought-together-global-leaders-to-stand-up-for-democracy,Climate,https://olivenetwork.org/Issue/global-progressive-mobilisation-brought-together-global-leaders-to-stand-up-for-democracy/26296,pending
26295,p-class-p1-strong-personal-statement,Climate,https://olivenetwork.org/Issue/p-class-p1-strong-personal-statement/26295,pending
26287,beyond-gdp-an-opportunity-for-economic-reset,Climate,https://olivenetwork.org/Issue/beyond-gdp-an-opportunity-for-economic-reset/26287,pending
26282,we-can-move-beyond-the-capitalist-model-and-save-the-climate-here-are-the-first-three-steps,Climate,https://olivenetwork.org/Issue/we-can-move-beyond-the-capitalist-model-and-save-the-climate-here-are-the-first-three-steps/26282,pending
26276,call-for-reset-of-global-water-agenda-seeks-to-reverse-water-bankruptcy,Climate,https://olivenetwork.org/Issue/call-for-reset-of-global-water-agenda-seeks-to-reverse-water-bankruptcy/26276,pending
26273,we-don-t-have-time-at-davos-wef-alternative-speech-26,Climate,https://olivenetwork.org/Issue/we-don-t-have-time-at-davos-wef-alternative-speech-26/26273,pending
26272,tori-tsui-resisting-billionaire-extractivism,Climate,https://olivenetwork.org/Issue/tori-tsui-resisting-billionaire-extractivism/26272,pending
26271,brazen-political-influence-of-rich-laid-bare-as-wealth-of-billionaires-reaches-18-3tn-says-oxfam,Climate,https://olivenetwork.org/Issue/brazen-political-influence-of-rich-laid-bare-as-wealth-of-billionaires-reaches-18-3tn-says-oxfam/26271,pending
26266,earth-needs-a-systems-change-that-prioritises-wellbeing,Climate,https://olivenetwork.org/Issue/earth-needs-a-systems-change-that-prioritises-wellbeing/26266,pending
26265,palestine-advocate-vanessa-redgrave,Climate,https://olivenetwork.org/Issue/palestine-advocate-vanessa-redgrave/26265,pending
26262,t-rk-says-human-rights-under-attack-yet-undeterred-in-2025,Climate,https://olivenetwork.org/Issue/t-rk-says-human-rights-under-attack-yet-undeterred-in-2025/26262,pending
26260,oecd-report-calls-for-more-synergistic-responses-to-triple-planetary-crisis,Climate,https://olivenetwork.org/Issue/oecd-report-calls-for-more-synergistic-responses-to-triple-planetary-crisis/26260,pending
26259,jason-hickel-on-degrowth-a-response-to-branko-milanovic,Climate,https://olivenetwork.org/Issue/jason-hickel-on-degrowth-a-response-to-branko-milanovic/26259,pending
26257,world-social-summit-commits-to-follow-up-process-to-ensure-implementation,Climate,https://olivenetwork.org/Issue/world-social-summit-commits-to-follow-up-process-to-ensure-implementation/26257,pending
26255,cop30-closes-hijacking-by-rich-countries-and-dire-need-for-peoples-multilateralism,Climate,https://olivenetwork.org/Issue/cop30-closes-hijacking-by-rich-countries-and-dire-need-for-peoples-multilateralism/26255,pending
26254,philanthropies-commit-300m-for-climate-health-solutions-at-cop30,Climate,https://olivenetwork.org/Issue/philanthropies-commit-300m-for-climate-health-solutions-at-cop30/26254,pending
26253,call-of-belem-for-the-climate,Climate,https://olivenetwork.org/Issue/call-of-belem-for-the-climate/26253,pending
26250,listen-to-the-cry-of-the-earth-pope-leo-takes-aim-at-climate-change-sceptics,Climate,https://olivenetwork.org/Issue/listen-to-the-cry-of-the-earth-pope-leo-takes-aim-at-climate-change-sceptics/26250,pending
26249,civil-society-movements-are-carrying-the-mantle-of-humanitarian-values,Climate,https://olivenetwork.org/Issue/civil-society-movements-are-carrying-the-mantle-of-humanitarian-values/26249,pending
26247,united-nations-general-debate-of-the-80th-session,Climate,https://olivenetwork.org/Issue/united-nations-general-debate-of-the-80th-session/26247,pending
26246,what-if-nature-could-save-us,Climate,https://olivenetwork.org/Issue/what-if-nature-could-save-us/26246,pending
26244,petricor-un-nuevo-internacionalismo,Climate,https://olivenetwork.org/Issue/petricor-un-nuevo-internacionalismo/26244,pending
26243,interactive-dialogue-lays-groundwork-for-2028-review-of-pact-for-the-future,Climate,https://olivenetwork.org/Issue/interactive-dialogue-lays-groundwork-for-2028-review-of-pact-for-the-future/26243,pending
26242,international-youth-day,Climate,https://olivenetwork.org/Issue/international-youth-day/26242,pending
26241,olive-network-on-instagram,Climate,https://olivenetwork.org/Issue/olive-network-on-instagram/26241,pending
26239,the-end-of-excuses-what-the-icj-opinion-means-for-climate-accountability,Climate,https://olivenetwork.org/Issue/the-end-of-excuses-what-the-icj-opinion-means-for-climate-accountability/26239,pending
26238,assembling-grounds-practices-of-coexistence,Climate,https://olivenetwork.org/Issue/assembling-grounds-practices-of-coexistence/26238,pending
26232,un-expert-elisa-morgera-calls-out-world-s-carbon-tunnel-vision,Climate,https://olivenetwork.org/Issue/un-expert-elisa-morgera-calls-out-world-s-carbon-tunnel-vision/26232,pending
26222,un-secretary-general-s-sdg-progress-report-shows-change-is-possible,Climate,https://olivenetwork.org/Issue/un-secretary-general-s-sdg-progress-report-shows-change-is-possible/26222,pending
26217,naciones-unidas-five-measures-to-reduce-damage-to-the-environment,Climate,https://olivenetwork.org/Issue/naciones-unidas-five-measures-to-reduce-damage-to-the-environment/26217,pending
26216,boreal-forests-a-great-unknown-despite-being-the-second-lung-of-the-planet,Climate,https://olivenetwork.org/Issue/boreal-forests-a-great-unknown-despite-being-the-second-lung-of-the-planet/26216,pending
26212,unep-international-mother-earth-day-2025,Climate,https://olivenetwork.org/Issue/unep-international-mother-earth-day-2025/26212,pending
26205,the-end-of-the-un-not-if-the-charter-gets-a-reboot,Climate,https://olivenetwork.org/Issue/the-end-of-the-un-not-if-the-charter-gets-a-reboot/26205,pending
26204,brazil-shares-priorities-for-cop-30,Climate,https://olivenetwork.org/Issue/brazil-shares-priorities-for-cop-30/26204,pending
26201,alfredo-jaar-the-end-of-the-world,Climate,https://olivenetwork.org/Issue/alfredo-jaar-the-end-of-the-world/26201,pending
26198,in-a-message-of-hope-un-secretary-general-outlines-priorities-for-2025,Climate,https://olivenetwork.org/Issue/in-a-message-of-hope-un-secretary-general-outlines-priorities-for-2025/26198,pending
26195,sdg-knowledge-hub-s-most-read-stories-of-2024-reveal-hunger-for-solutions,Climate,https://olivenetwork.org/Issue/sdg-knowledge-hub-s-most-read-stories-of-2024-reveal-hunger-for-solutions/26195,pending
26190,in-new-year-s-message-guterres-urges-countries-to-drastically-slash-emissions-and-exit-this-road-to-ruin,Climate,https://olivenetwork.org/Issue/in-new-year-s-message-guterres-urges-countries-to-drastically-slash-emissions-and-exit-this-road-to-ruin/26190,pending
26181,whispers-self-censorship-and-crackdowns-on-free-speech-prevailed-at-cop29,Climate,https://olivenetwork.org/Issue/whispers-self-censorship-and-crackdowns-on-free-speech-prevailed-at-cop29/26181,pending
26180,the-future-of-sustainability-2024-25-reimagining-the-way-the-world-works,Climate,https://olivenetwork.org/Issue/the-future-of-sustainability-2024-25-reimagining-the-way-the-world-works/26180,pending
26177,what-to-expect-at-cop29-connecting-the-dots-in-baku,Climate,https://olivenetwork.org/Issue/what-to-expect-at-cop29-connecting-the-dots-in-baku/26177,pending
