id,slug_used,note,status,verdict,final_url,title,body_chars
24282,the-joy-initiative-people-who-inspire-others-to-live-happier-lives,control-real-slug,200,ARTICLE,,The joy initiative: people who inspire others to live happier lives,7289
24283,featured-utopia-for-realists-and-how-we-can-get-there,control-real-slug,200,ARTICLE,,Featured: Utopia For Realists - and how we can get there.,1254
25692,women-must-be-front-and-center-of-pandemic-recovery-un-chief-says,control-real-slug,200,ARTICLE,,"Women must be ‘front and center’ of pandemic recovery, UN chief says",3968
24282,probe,control-junk-slug,200,ARTICLE,,The joy initiative: people who inspire others to live happier lives,7289
24283,probe,control-junk-slug,200,ARTICLE,,Featured: Utopia For Realists - and how we can get there.,1254
25692,probe,control-junk-slug,200,ARTICLE,,"Women must be ‘front and center’ of pandemic recovery, UN chief says",3968
24289,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24303,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24330,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24337,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24343,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24344,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24348,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24419,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24496,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24513,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24545,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24579,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24814,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24829,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24870,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/login?returnurl=%2fIssue%2fprobe%2f24870,Log In,0
24934,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24964,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
25117,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
25320,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/login?returnurl=%2fIssue%2fprobe%2f25320,Log In,0
25324,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/login?returnurl=%2fIssue%2fprobe%2f25324,Log In,0
25346,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
25456,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
25492,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/login?returnurl=%2fIssue%2fprobe%2f25492,Log In,0
25546,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
25568,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
25685,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/login?returnurl=%2fIssue%2fprobe%2f25685,Log In,0
25863,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/login?returnurl=%2fIssue%2fprobe%2f25863,Log In,0
25974,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/login?returnurl=%2fIssue%2fprobe%2f25974,Log In,0
26098,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
26129,probe,gap-in-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23126,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23286,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23462,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23530,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23536,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23554,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23559,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23675,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23789,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23934,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
23978,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24023,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
24097,probe,below-range,200,title-but-no-body,https://olivenetwork.org/?status=issuenotfound,OLIVE NETWORKNEW MEDIA FOR A KINDER ERA,0
